VulnerabilityID,PkgName,InstalledVersion,FixedVersion,Title,Description,Severity,References
CVE-2018-11236,libc-bin,2.23-0ubuntu11,,glibc: Integer overflow in stdlib/canonicalize.c on 32-bit architectures leading to stack-based buffer overflow,"stdlib/canonicalize.c in the GNU C Library (aka glibc or libc6) 2.27 and earlier, when processing very long pathname arguments to the realpath function, could encounter an integer overflow on 32-bit architectures, leading to a stack-based buffer overflow and, potentially, arbitrary code execution.",HIGH,"['http://www.securityfocus.com/bid/104255', 'https://security.netapp.com/advisory/ntap-20190401-0001/', 'https://sourceware.org/git/gitweb.cgi?p=glibc.git;h=5460617d1567657621107d895ee2dd83bc1f88f2', 'https://sourceware.org/bugzilla/show_bug.cgi?id=22786', 'https://www.oracle.com/technetwork/security-advisory/cpuapr2019-5072813.html', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-11236', 'https://access.redhat.com/errata/RHBA-2019:0327', 'https://access.redhat.com/errata/RHSA-2018:3092', 'https://security.netapp.com/advisory/ntap-20190329-0001/']"
CVE-2019-9169,libc-bin,2.23-0ubuntu11,,glibc: regular-expression match via proceed_next_node in posix/regexec.c leads to heap-based buffer over-read,"In the GNU C Library (aka glibc or libc6) through 2.29, proceed_next_node in posix/regexec.c has a heap-based buffer over-read via an attempted case-insensitive regular-expression match.",HIGH,"['https://debbugs.gnu.org/cgi/bugreport.cgi?bug=34140', 'https://kc.mcafee.com/corporate/index?page=content&id=SB10278', 'https://sourceware.org/bugzilla/show_bug.cgi?id=24114', 'https://support.f5.com/csp/article/K54823184', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-9169', 'http://www.securityfocus.com/bid/107160', 'https://debbugs.gnu.org/cgi/bugreport.cgi?bug=34142', 'https://security.netapp.com/advisory/ntap-20190315-0002/', 'https://sourceware.org/git/gitweb.cgi?p=glibc.git;a=commit;h=583dd860d5b833037175247230a328f0050dbfe9']"
CVE-2009-5155,libc-bin,2.23-0ubuntu11,,glibc: parse_reg_exp in posix/regcomp.c misparses alternatives leading to denial of service or trigger incorrect result,"In the GNU C Library (aka glibc or libc6) before 2.28, parse_reg_exp in posix/regcomp.c misparses alternatives, which allows attackers to cause a denial of service (assertion failure and application exit) or trigger an incorrect result by attempting a regular-expression match.",MEDIUM,"['https://support.f5.com/csp/article/K64119434', 'https://debbugs.gnu.org/cgi/bugreport.cgi?bug=22793', 'https://debbugs.gnu.org/cgi/bugreport.cgi?bug=32806', 'https://security.netapp.com/advisory/ntap-20190315-0002/', 'https://sourceware.org/bugzilla/show_bug.cgi?id=11053', 'https://sourceware.org/git/gitweb.cgi?p=glibc.git;h=eb04c21373e2a2885f3d52ff192b0499afe3c672', 'http://git.savannah.gnu.org/cgit/gnulib.git/commit/?id=5513b40999149090987a0341c018d05d3eea1272', 'https://debbugs.gnu.org/cgi/bugreport.cgi?bug=34238', 'https://sourceware.org/bugzilla/show_bug.cgi?id=18986', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2009-5155']"
CVE-2015-8985,libc-bin,2.23-0ubuntu11,,glibc: potential denial of service in pop_fail_stack(),The pop_fail_stack function in the GNU C Library (aka glibc or libc6) allows context-dependent attackers to cause a denial of service (assertion failure and application crash) via vectors related to extended regular expression processing.,MEDIUM,"['http://www.openwall.com/lists/oss-security/2017/02/14/9', 'http://www.securityfocus.com/bid/76916', 'https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=779392', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2015-8985']"
CVE-2019-9192,libc-bin,2.23-0ubuntu11,,glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c,"** DISPUTED ** In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\1\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern.",MEDIUM,['https://sourceware.org/bugzilla/show_bug.cgi?id=24269']
CVE-2015-5180,libc-bin,2.23-0ubuntu11,,glibc: DNS resolver NULL pointer dereference with crafted record type,res_query in libresolv in glibc before 2.25 allows remote attackers to cause a denial of service (NULL pointer dereference and process crash).,MEDIUM,"['https://sourceware.org/git/gitweb.cgi?p=glibc.git;h=fc82b0a2dfe7dbd35671c10510a8da1043d746a5', 'http://www.ubuntu.com/usn/USN-3239-2', 'https://access.redhat.com/errata/RHSA-2018:0805', 'https://bugzilla.redhat.com/show_bug.cgi?id=1249603', 'https://sourceware.org/bugzilla/attachment.cgi?id=8492', 'https://sourceware.org/bugzilla/show_bug.cgi?id=18784', 'http://www.securityfocus.com/bid/99324', 'http://www.ubuntu.com/usn/USN-3239-1', 'https://security.gentoo.org/glsa/201706-19', 'https://sourceware.org/ml/libc-alpha/2017-02/msg00079.html', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2015-5180']"
CVE-2018-11237,libc-bin,2.23-0ubuntu11,,glibc: Buffer overflow in __mempcpy_avx512_no_vzeroupper,"An AVX-512-optimized implementation of the mempcpy function in the GNU C Library (aka glibc or libc6) 2.27 and earlier may write data beyond the target buffer, leading to a buffer overflow in __mempcpy_avx512_no_vzeroupper.",MEDIUM,"['https://security.netapp.com/advisory/ntap-20190329-0001/', 'https://security.netapp.com/advisory/ntap-20190401-0001/', 'https://sourceware.org/bugzilla/show_bug.cgi?id=23196', 'https://www.oracle.com/technetwork/security-advisory/cpuapr2019-5072813.html', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-11237', 'http://www.securityfocus.com/bid/104256', 'https://access.redhat.com/errata/RHBA-2019:0327', 'https://access.redhat.com/errata/RHSA-2018:3092', 'https://www.exploit-db.com/exploits/44750/']"
CVE-2018-20796,libc-bin,2.23-0ubuntu11,,glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c,"In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(\227|)(\\1\\1|t1|\\\2537)+' in grep.",MEDIUM,"['http://www.securityfocus.com/bid/107160', 'https://debbugs.gnu.org/cgi/bugreport.cgi?bug=34141', 'https://lists.gnu.org/archive/html/bug-gnulib/2019-01/msg00108.html', 'https://security.netapp.com/advisory/ntap-20190315-0002/']"
CVE-2016-10228,libc-bin,2.23-0ubuntu11,,glibc: iconv program can hang when invoked with the -c option,"The iconv program in the GNU C Library (aka glibc or libc6) 2.25 and earlier, when invoked with the -c option, enters an infinite loop when processing invalid multi-byte input sequences, leading to a denial of service.",MEDIUM,"['http://openwall.com/lists/oss-security/2017/03/01/10', 'http://www.securityfocus.com/bid/96525', 'https://sourceware.org/bugzilla/show_bug.cgi?id=19519']"
CVE-2016-10739,libc-bin,2.23-0ubuntu11,,glibc: getaddrinfo should reject IP addresses with trailing characters,"In the GNU C Library (aka glibc or libc6) through 2.28, the getaddrinfo function would successfully parse a string that contained an IPv4 address followed by whitespace and arbitrary characters, which could lead applications to incorrectly assume that it had parsed a valid string, without the possibility of embedded HTTP headers or other potentially dangerous substrings.",MEDIUM,"['https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2016-10739', 'http://lists.opensuse.org/opensuse-security-announce/2019-04/msg00082.html', 'http://www.securityfocus.com/bid/106672', 'https://bugzilla.redhat.com/show_bug.cgi?id=1347549', 'https://sourceware.org/bugzilla/show_bug.cgi?id=20018']"
CVE-2017-12133,libc-bin,2.23-0ubuntu11,,glibc: Use-after-free read access in clntudp_call in sunrpc,Use-after-free vulnerability in the clntudp_call function in sunrpc/clnt_udp.c in the GNU C Library (aka glibc or libc6) before 2.26 allows remote attackers to have unspecified impact via vectors related to error path.,MEDIUM,"['https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/SYZL6PAKI73XYRJYL5VLDGA4FFGWMB7A/', 'https://sourceware.org/bugzilla/show_bug.cgi?id=21115', 'https://sourceware.org/git/gitweb.cgi?p=glibc.git;h=d42eed4a044e5e10dfb885cf9891c2518a72a491', 'https://www.securityfocus.com/bid/100679', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-12133']"
CVE-2017-12132,libc-bin,2.23-0ubuntu11,,glibc: Fragmentation attacks possible when EDNS0 is enabled,"The DNS stub resolver in the GNU C Library (aka glibc or libc6) before version 2.26, when EDNS support is enabled, will solicit large UDP responses from name servers, potentially simplifying off-path DNS spoofing attacks due to IP fragmentation.",MEDIUM,"['http://www.securityfocus.com/bid/100598', 'https://access.redhat.com/errata/RHSA-2018:0805', 'https://arxiv.org/pdf/1205.4011.pdf', 'https://sourceware.org/bugzilla/show_bug.cgi?id=21361', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-12132']"
CVE-2019-7309,libc-bin,2.23-0ubuntu11,,glibc: memcmp function incorrectly returns zero,"In the GNU C Library (aka glibc or libc6) through 2.29, the memcmp function for the x32 architecture can incorrectly return zero (indicating that the inputs are equal) because the RDX most significant bit is mishandled.",LOW,"['http://www.securityfocus.com/bid/106835', 'https://sourceware.org/bugzilla/show_bug.cgi?id=24155', 'https://sourceware.org/ml/libc-alpha/2019-02/msg00041.html', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-7309']"
CVE-2019-9169,libc6,2.23-0ubuntu11,,glibc: regular-expression match via proceed_next_node in posix/regexec.c leads to heap-based buffer over-read,"In the GNU C Library (aka glibc or libc6) through 2.29, proceed_next_node in posix/regexec.c has a heap-based buffer over-read via an attempted case-insensitive regular-expression match.",HIGH,"['https://kc.mcafee.com/corporate/index?page=content&id=SB10278', 'https://security.netapp.com/advisory/ntap-20190315-0002/', 'https://sourceware.org/git/gitweb.cgi?p=glibc.git;a=commit;h=583dd860d5b833037175247230a328f0050dbfe9', 'https://debbugs.gnu.org/cgi/bugreport.cgi?bug=34140', 'https://debbugs.gnu.org/cgi/bugreport.cgi?bug=34142', 'https://support.f5.com/csp/article/K54823184', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-9169', 'http://www.securityfocus.com/bid/107160', 'https://sourceware.org/bugzilla/show_bug.cgi?id=24114']"
CVE-2017-18269,libc6,2.23-0ubuntu11,,glibc: memory corruption in memcpy-sse2-unaligned.S,"An SSE2-optimized memmove implementation for i386 in sysdeps/i386/i686/multiarch/memcpy-sse2-unaligned.S in the GNU C Library (aka glibc or libc6) 2.21 through 2.27 does not correctly perform the overlapping memory check if the source memory range spans the middle of the address space, resulting in corrupt data being produced by the copy operation. This may disclose information to context-dependent attackers, or result in a denial of service, or, possibly, code execution.",HIGH,"['https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-18269', 'https://github.com/fingolfin/memmove-bug', 'https://security.netapp.com/advisory/ntap-20190329-0001/', 'https://security.netapp.com/advisory/ntap-20190401-0001/', 'https://sourceware.org/bugzilla/show_bug.cgi?id=22644', 'https://sourceware.org/git/gitweb.cgi?p=glibc.git;h=cd66c0e584c6d692bc8347b5e72723d02b8a8ada']"
CVE-2018-6485,libc6,2.23-0ubuntu11,,glibc: Integer overflow in posix_memalign in memalign functions,"An integer overflow in the implementation of the posix_memalign in memalign functions in the GNU C Library (aka glibc or libc6) 2.26 and earlier could cause these functions to return a pointer to a heap area that is too small, potentially leading to heap corruption.",HIGH,"['https://security.netapp.com/advisory/ntap-20190404-0003/', 'https://sourceware.org/bugzilla/show_bug.cgi?id=22343', 'https://www.oracle.com/technetwork/security-advisory/cpuapr2019-5072813.html', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-6485', 'http://bugs.debian.org/878159', 'http://www.securityfocus.com/bid/102912', 'https://access.redhat.com/errata/RHBA-2019:0327', 'https://access.redhat.com/errata/RHSA-2018:3092']"
CVE-2018-11236,libc6,2.23-0ubuntu11,,glibc: Integer overflow in stdlib/canonicalize.c on 32-bit architectures leading to stack-based buffer overflow,"stdlib/canonicalize.c in the GNU C Library (aka glibc or libc6) 2.27 and earlier, when processing very long pathname arguments to the realpath function, could encounter an integer overflow on 32-bit architectures, leading to a stack-based buffer overflow and, potentially, arbitrary code execution.",HIGH,"['https://security.netapp.com/advisory/ntap-20190329-0001/', 'https://sourceware.org/git/gitweb.cgi?p=glibc.git;h=5460617d1567657621107d895ee2dd83bc1f88f2', 'http://www.securityfocus.com/bid/104255', 'https://access.redhat.com/errata/RHSA-2018:3092', 'https://security.netapp.com/advisory/ntap-20190401-0001/', 'https://sourceware.org/bugzilla/show_bug.cgi?id=22786', 'https://www.oracle.com/technetwork/security-advisory/cpuapr2019-5072813.html', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-11236', 'https://access.redhat.com/errata/RHBA-2019:0327']"
CVE-2018-11237,libc6,2.23-0ubuntu11,,glibc: Buffer overflow in __mempcpy_avx512_no_vzeroupper,"An AVX-512-optimized implementation of the mempcpy function in the GNU C Library (aka glibc or libc6) 2.27 and earlier may write data beyond the target buffer, leading to a buffer overflow in __mempcpy_avx512_no_vzeroupper.",MEDIUM,"['https://access.redhat.com/errata/RHBA-2019:0327', 'https://security.netapp.com/advisory/ntap-20190329-0001/', 'https://security.netapp.com/advisory/ntap-20190401-0001/', 'https://sourceware.org/bugzilla/show_bug.cgi?id=23196', 'https://www.exploit-db.com/exploits/44750/', 'http://www.securityfocus.com/bid/104256', 'https://access.redhat.com/errata/RHSA-2018:3092', 'https://www.oracle.com/technetwork/security-advisory/cpuapr2019-5072813.html', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-11237']"
CVE-2018-20796,libc6,2.23-0ubuntu11,,glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c,"In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(\227|)(\\1\\1|t1|\\\2537)+' in grep.",MEDIUM,"['http://www.securityfocus.com/bid/107160', 'https://debbugs.gnu.org/cgi/bugreport.cgi?bug=34141', 'https://lists.gnu.org/archive/html/bug-gnulib/2019-01/msg00108.html', 'https://security.netapp.com/advisory/ntap-20190315-0002/']"
CVE-2019-9192,libc6,2.23-0ubuntu11,,glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c,"** DISPUTED ** In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\1\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern.",MEDIUM,['https://sourceware.org/bugzilla/show_bug.cgi?id=24269']
CVE-2016-10739,libc6,2.23-0ubuntu11,,glibc: getaddrinfo should reject IP addresses with trailing characters,"In the GNU C Library (aka glibc or libc6) through 2.28, the getaddrinfo function would successfully parse a string that contained an IPv4 address followed by whitespace and arbitrary characters, which could lead applications to incorrectly assume that it had parsed a valid string, without the possibility of embedded HTTP headers or other potentially dangerous substrings.",MEDIUM,"['http://lists.opensuse.org/opensuse-security-announce/2019-04/msg00082.html', 'http://www.securityfocus.com/bid/106672', 'https://bugzilla.redhat.com/show_bug.cgi?id=1347549', 'https://sourceware.org/bugzilla/show_bug.cgi?id=20018', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2016-10739']"
CVE-2009-5155,libc6,2.23-0ubuntu11,,glibc: parse_reg_exp in posix/regcomp.c misparses alternatives leading to denial of service or trigger incorrect result,"In the GNU C Library (aka glibc or libc6) before 2.28, parse_reg_exp in posix/regcomp.c misparses alternatives, which allows attackers to cause a denial of service (assertion failure and application exit) or trigger an incorrect result by attempting a regular-expression match.",MEDIUM,"['http://git.savannah.gnu.org/cgit/gnulib.git/commit/?id=5513b40999149090987a0341c018d05d3eea1272', 'https://debbugs.gnu.org/cgi/bugreport.cgi?bug=32806', 'https://debbugs.gnu.org/cgi/bugreport.cgi?bug=34238', 'https://sourceware.org/bugzilla/show_bug.cgi?id=11053', 'https://sourceware.org/bugzilla/show_bug.cgi?id=18986', 'https://support.f5.com/csp/article/K64119434', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2009-5155', 'https://debbugs.gnu.org/cgi/bugreport.cgi?bug=22793', 'https://security.netapp.com/advisory/ntap-20190315-0002/', 'https://sourceware.org/git/gitweb.cgi?p=glibc.git;h=eb04c21373e2a2885f3d52ff192b0499afe3c672']"
CVE-2015-8985,libc6,2.23-0ubuntu11,,glibc: potential denial of service in pop_fail_stack(),The pop_fail_stack function in the GNU C Library (aka glibc or libc6) allows context-dependent attackers to cause a denial of service (assertion failure and application crash) via vectors related to extended regular expression processing.,MEDIUM,"['http://www.openwall.com/lists/oss-security/2017/02/14/9', 'http://www.securityfocus.com/bid/76916', 'https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=779392', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2015-8985']"
CVE-2017-12133,libc6,2.23-0ubuntu11,,glibc: Use-after-free read access in clntudp_call in sunrpc,Use-after-free vulnerability in the clntudp_call function in sunrpc/clnt_udp.c in the GNU C Library (aka glibc or libc6) before 2.26 allows remote attackers to have unspecified impact via vectors related to error path.,MEDIUM,"['https://sourceware.org/bugzilla/show_bug.cgi?id=21115', 'https://sourceware.org/git/gitweb.cgi?p=glibc.git;h=d42eed4a044e5e10dfb885cf9891c2518a72a491', 'https://www.securityfocus.com/bid/100679', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-12133', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/SYZL6PAKI73XYRJYL5VLDGA4FFGWMB7A/']"
CVE-2017-12132,libc6,2.23-0ubuntu11,,glibc: Fragmentation attacks possible when EDNS0 is enabled,"The DNS stub resolver in the GNU C Library (aka glibc or libc6) before version 2.26, when EDNS support is enabled, will solicit large UDP responses from name servers, potentially simplifying off-path DNS spoofing attacks due to IP fragmentation.",MEDIUM,"['http://www.securityfocus.com/bid/100598', 'https://access.redhat.com/errata/RHSA-2018:0805', 'https://arxiv.org/pdf/1205.4011.pdf', 'https://sourceware.org/bugzilla/show_bug.cgi?id=21361', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-12132']"
CVE-2016-10228,libc6,2.23-0ubuntu11,,glibc: iconv program can hang when invoked with the -c option,"The iconv program in the GNU C Library (aka glibc or libc6) 2.25 and earlier, when invoked with the -c option, enters an infinite loop when processing invalid multi-byte input sequences, leading to a denial of service.",MEDIUM,"['http://openwall.com/lists/oss-security/2017/03/01/10', 'http://www.securityfocus.com/bid/96525', 'https://sourceware.org/bugzilla/show_bug.cgi?id=19519']"
